ident,iata_code,name,type,latitude_deg,longitude_deg,elevation_ft
VYGG,GAW,Gangaw Airport,small_airport,22.174699783325195,94.1343994140625,200.0
VYGW,GWA,Gwa Airport,small_airport,17.600000381469727,94.5832977294922,10.0
VYHB,,Hmawbi Air Base,small_airport,17.11669921875,96.06670379638672,69.0
VYHH,HEH,Heho Airport,medium_airport,20.74714,96.792029,3858.0
VYHL,HOX,Hommalinn Airport,small_airport,24.899599,94.914001,534.0
VYHN,TIO,Tilin Airport,small_airport,21.700000762939453,94.0999984741211,1385.0
VYKG,KET,Kengtung Airport,medium_airport,21.30159950256348,99.63600158691406,2798.0
VYKI,KHM,Kanti Airport,small_airport,25.9883,95.6744,6000.0
VYKL,KMV,Kalay Airport,small_airport,23.188801,94.051102,439.0
VYKP,KYP,Kyaukpyu Airport,medium_airport,19.42639923095703,93.53479766845705,20.0
VYKT,KAW,Kawthoung Airport,medium_airport,10.04930019378662,98.53800201416016,180.0
VYKU,KYT,Kyauktu Airport,small_airport,21.399999618530277,94.13330078125,1250.0
VYLK,LIW,Loikaw Airport,medium_airport,19.691499710083008,97.2147979736328,2940.0
VYLN,,Lonekin Airport,small_airport,25.649999618530277,96.36699676513672,1010.0
VYLS,LSH,Lashio Airport,medium_airport,22.9778995513916,97.752197265625,2450.0
VYLY,,Lanywa Airport,small_airport,20.940399169921875,94.82260131835938,175.0
VYMD,MDL,Mandalay International Airport,large_airport,21.70219993591309,95.97789764404295,300.0
VYME,MGZ,Myeik Airport,medium_airport,12.439800262451172,98.62149810791016,75.0
VYMH,,Mong Hpayak Airport,small_airport,20.83300018310547,99.9499969482422,1700.0
VYMI,,Mongyai Airport,small_airport,22.482999801635746,98.03299713134766,2900.0
VYMK,MYT,Myitkyina Airport,medium_airport,25.3836,97.351898,475.0
VYML,,Meiktila Air Base,medium_airport,20.88640022277832,95.89279174804688,699.0
VYMM,MNU,Mawlamyine Airport,small_airport,16.444700241088867,97.66069793701172,52.0
VYMN,MGU,Manaung Airport,small_airport,18.8458,93.688904,102.0
VYMO,MOE,Momeik Airport,medium_airport,23.092500686645508,96.64530181884766,600.0
VYMP,,Mongpyin Airport,small_airport,21.350000381469727,99.03299713134766,1516.0
VYMS,MOG,Mong Hsat Airport,medium_airport,20.51679992675781,99.25679779052734,1875.0
VYMT,MGK,Mong Tong Airport,small_airport,20.29669952392578,98.8989028930664,1840.0
VYMU,,Mrauk-U Airport,small_airport,20.525901,93.252979,60.0
VYMW,MWQ,Magway Airport,small_airport,20.1656,94.941399,279.0
VYMY,NYW,Monywar Airport,small_airport,22.221638,95.093479,298.0
VYNM,,Naungmom Airport,small_airport,27.5,97.81700134277344,2200.0
VYNP,,Nampong Air Base,medium_airport,25.3544006348,97.2951965332,459.0
VYNS,NMS,Namsang Airport,medium_airport,20.890499114990234,97.73590087890624,3100.0
VYNT,NYT,Nay Pyi Taw International Airport,large_airport,19.623501,96.200996,302.0
VYNU,NMT,Namtu Airport,small_airport,23.083,97.383003,2000.0
VYPA,PAA,Hpa-N Airport,small_airport,16.8937,97.674599,150.0
VYPB,,Phonngbyin Airport,small_airport,24.25,94.78299713134766,300.0
VYPE,,Seinzan (Paletwa) Airport,small_airport,21.28416,92.90048,60.0
VYPI,,Pearl Island Airport,small_airport,11.276081,98.213278,5.0
VYPK,PAU,Pauk Airport,small_airport,21.4492,94.4869,249.0
VYPL,,Pinlebu Airport,small_airport,24.08300018310547,95.36699676513672,830.0
VYPN,BSX,Pathein Airport,small_airport,16.815201,94.7799,20.0
VYPP,PPU,Hpapun Airport,small_airport,18.0666999817,97.449798584,300.0
VYPT,PBU,Putao Airport,medium_airport,27.32990074157715,97.42630004882812,1500.0
VYPU,PKK,Pakhokku Airport,small_airport,21.4043,95.11125,151.0
VYPW,,Palaw Airport,small_airport,12.959289,98.641627,150.0
VYPY,PRU,Pyay Airport,small_airport,18.824499130249023,95.26599884033205,120.0
VYSA,,Saw Airport,small_airport,21.16699981689453,94.16699981689452,1100.0
VYSL,,Salingyi Airport,small_airport,22.100000381469727,95.01699829101562,264.0
VYST,,Shante Air Base,medium_airport,20.941699981689453,95.91449737548828,630.0
VYSW,AKY,Sittwe Airport,medium_airport,20.133165,92.870693,27.0
VYTD,SNW,Thandwe Airport,medium_airport,18.4606990814209,94.30010223388672,20.0
VYTL,THL,Tachileik Airport,medium_airport,20.483800888061523,99.9354019165039,1280.0
VYTN,,Tanai Airport,small_airport,26.367000579833984,96.73300170898438,690.0
VYTO,,Taungoo Airport,small_airport,19.031299591064453,96.40119934082033,160.0
VYTY,,Tanyang Airport,small_airport,22.482999801635746,98.4000015258789,250.0
VYXG,,Kyaukhtu South Airport,small_airport,21.406700134277344,94.13030242919922,1345.0
VYYE,XYE,Ye Airport,small_airport,15.301361,97.864288,30.0
VYYY,RGN,Yangon International Airport,large_airport,16.907300949099998,96.1332015991,109.0
W00,,Freeway Airport,small_airport,38.941397,-76.772401,168.0
W04,,Ocean Shores Municipal Airport,small_airport,46.999324,-124.142418,13.0
W09,,Lower Monumental State Airport,small_airport,46.55039978027344,-118.53600311279295,813.0
W10,,Whidbey Air Park,small_airport,48.01750183105469,-122.43800354003906,271.0
W12,,Lost River Airport,small_airport,48.649602,-120.501999,2415.0
W13,,Eagle's Nest Airport,small_airport,38.077099,-78.944199,1437.0
W16,,First Air Field,small_airport,47.871375,-121.995698,50.0
W19,,Verona Airport,small_airport,42.989722,-89.509167,960.0
W20,,Moses Lake Municipal Airport,small_airport,47.141998,-119.237999,1203.0
W23,,Wild Rose Idlewild Airport,small_airport,44.1978,-89.217903,908.0
W24,,Falwell Airport,small_airport,37.377899,-79.1222,939.0
W26,,Foxair Seaplane Base,seaplane_base,44.4989013671875,-88.02230072021484,580.0
W27,,Woodland State Airport,small_airport,45.89879989624024,-122.73699951171876,29.0
W29,,Bay Bridge Airport,small_airport,38.976398,-76.329597,15.0
W33,FBS,Friday Harbor Seaplane Base,seaplane_base,48.5373,-123.010002,
W34,,Shiocton Airport,small_airport,44.4547,-88.561798,769.0
W36,,Will Rogers Wiley Post Memorial Seaplane Base,seaplane_base,47.4998016357,-122.21900177,14.0
W37,,American Lake Seaplane Base,seaplane_base,47.14149856567383,-122.56099700927734,235.0
W39,,Roche Harbor Seaplane Base,seaplane_base,48.610838,-123.16,
W42,,Fallston Airport,small_airport,39.501499,-76.411102,460.0
W48,,Essex Skypark Airport,small_airport,39.2626,-76.432999,15.0
W49,RSJ,Rosario Seaplane Base,seaplane_base,48.645699,-122.867996,
W50,,Davis Airstrip,small_airport,39.244499,-77.148598,630.0
W52,,Goheen Airport,small_airport,45.826801,-122.577003,292.0
W55,LKE,Kenmore Air Harbor Seaplane Base,seaplane_base,47.629002,-122.338997,14.0
W56,,Fly For Fun Airport,small_airport,45.687302,-122.522003,297.0
W57,,Round Lake Airport and Seaplane Base,small_airport,42.92919921875,-73.770401000977,175.0
W58,,Cedars North Airpark,small_airport,45.764469,-122.515229,275.0
W73,,Mid Atlantic Soaring Center Airport,small_airport,39.75699996948242,-77.35140228271484,573.0
W75,,Hummel Field,small_airport,37.602402,-76.446701,30.0
W87,,Wickenheiser Airport,small_airport,42.018101,-83.377197,610.0
W88,,Air Harbor Airport,small_airport,36.17359924316406,-79.8031005859375,822.0
WA00,,Mercer Ranch Airport,small_airport,45.898488,-119.915638,780.0
WA01,,Wirkkala Airport,small_airport,46.356201171875,-123.81500244140624,35.0
WA02,,The Island Hospital Heliport,heliport,48.50260162353516,-122.61499786376952,150.0
WA03,,Tristan Heliport,heliport,48.987451,-122.288134,48.0
WA04,,Kyles Airport,small_airport,47.814902,-122.043915,470.0
WA05,,Apex Airpark,small_airport,47.656799,-122.733002,525.0
WA06,,Don Johnson Home Heliport,heliport,47.30229949951172,-122.1510009765625,429.0
WA07,,Barker Airport,small_airport,48.37480163574219,-122.33899688720705,5.0
WA08,,Zwainz Farms Airport,small_airport,47.720699310302734,-117.90899658203124,2795.0
WA09,RCE,Roche Harbor Airport,small_airport,48.612301,-123.139,100.0
WA12,,Acme Field,small_airport,48.71356,-122.195926,301.0
WA13,,Seaplane Landing Area Seaplane Base,seaplane_base,48.20830154418945,-120.59200286865234,1100.0
WA14,,Connell City Airport,small_airport,46.661219,-118.830858,925.0
WA15,,Coulee City Airport,small_airport,47.61348,-119.248968,1800.0
WA16,,Banas Field,small_airport,46.79970169067383,-123.54100036621094,180.0
WA18,,Decatur /Jones/ Airport,small_airport,48.510101318359375,-122.8030014038086,125.0
WA19,,Berkley Structures Heliport,heliport,47.681996,-122.148491,50.0
WA1B,,Aru Airport,small_airport,-6.57342004776001,134.14700317382812,165.0
WA21,,Elk Heights Airport,small_airport,47.99987,-117.263577,2050.0
WA22,,Mirth Airport,small_airport,47.9385986328125,-122.60800170898438,190.0
WA23,,Pine Bluff Airport,small_airport,48.02099990844727,-117.73899841308594,2021.0
WA24,,Pfister's Airport,small_airport,46.396900177,-119.021003723,625.0
WA25,,Green Valley Airfield,small_airport,48.095945,-122.015036,300.0
WA26,,Harrah Airport,small_airport,46.411419,-120.634389,845.0
